CURSO;COD_RUCT;TITULACION;CENTRO;SATIS_ALU_GESTION_TIT
2021-22;2500739;GRADO EN ARQUITECTURA TÉCNICA;E.T.S. DE INGENIERÍA DE EDIFICACIÓN;6,750000
2021-22;2500801;GRADO EN CIENCIAS AMBIENTALES;ESCUELA POLITECNICA SUPERIOR DE GANDIA;6,820000
2021-22;2501354;GRADO EN COMUNICACIÓN AUDIOVISUAL;ESCUELA POLITECNICA SUPERIOR DE GANDIA;5,900000
2021-22;2501355;GRADO EN TURISMO;ESCUELA POLITECNICA SUPERIOR DE GANDIA;4,530000
2021-22;2501356;GRADO EN INGENIERÍA EN DISEÑO INDUSTRIAL Y DESARROLLO DE PRODUCTOS;E. POLITÉCNICA SUPERIOR DE ALCOY;6,530000
2021-22;2501356;GRADO EN INGENIERÍA EN DISEÑO INDUSTRIAL Y DESARROLLO DE PRODUCTOS;E.T.S. DE INGENIERIA DEL DISEÑO;7,430000
2021-22;2501484;GRADO EN BELLAS ARTES;FACULTAD DE BELLAS ARTES;6,720000
2021-22;2501485;GRADO EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURALES;FACULTAD DE BELLAS ARTES;6,790000
2021-22;2501486;GRADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA;FACULTAD DE ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;6,160000
2021-22;2501649;GRADO EN BIOTECNOLOGÍA;E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL;6,780000
2021-22;2501650;GRADO EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS;E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL;7,310000
2021-22;2501651;GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;E. POLITÉCNICA SUPERIOR DE ALCOY;7,860000
2021-22;2501651;GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;FACULTAD DE ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;6,250000
2021-22;2501653;GRADO EN INGENIERÍA AEROESPACIAL;E.T.S. DE INGENIERIA DEL DISEÑO;7,010000
2021-22;2501654;GRADO EN INGENIERÍA AGROALIMENTARIA Y DEL MEDIO RURAL;E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL;7,540000
2021-22;2501655;GRADO EN INGENIERÍA ELÉCTRICA;E. POLITÉCNICA SUPERIOR DE ALCOY;5,630000
2021-22;2501655;GRADO EN INGENIERÍA ELÉCTRICA;E.T.S. DE INGENIERIA DEL DISEÑO;6,640000
2021-22;2501656;GRADO EN INGENIERÍA ELECTRÓNICA INDUSTRIAL Y AUTOMÁTICA;E.T.S. DE INGENIERIA DEL DISEÑO;7,700000
2021-22;2501657;GRADO EN INGENIERÍA GEOMÁTICA Y TOPOGRAFÍA;E.T.S.I. GEODESICA, CARTOGRAFICA Y TOP.;7,020000
2021-22;2501658;GRADO EN INGENIERÍA DE ORGANIZACIÓN INDUSTRIAL;E.T.S.I. INDUSTRIALES;7,180000
2021-22;2501659;GRADO EN INGENIERÍA EN TECNOLOGÍAS INDUSTRIALES;E.T.S.I. INDUSTRIALES;6,640000
2021-22;2501660;GRADO EN INGENIERÍA FORESTAL Y DEL MEDIO NATURAL;E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL;6,120000
2021-22;2501661;GRADO EN INGENIERÍA INFORMÁTICA;E. POLITÉCNICA SUPERIOR DE ALCOY;6,850000
2021-22;2501661;GRADO EN INGENIERÍA INFORMÁTICA;E.T.S. DE INGENIERÍA INFORMÁTICA;6,560000
2021-22;2501662;GRADO EN INGENIERÍA QUÍMICA;E. POLITÉCNICA SUPERIOR DE ALCOY;8,000000
2021-22;2501662;GRADO EN INGENIERÍA QUÍMICA;E.T.S.I. INDUSTRIALES;6,850000
2021-22;2501663;GRADO EN INGENIERÍA DE SISTEMAS DE TELECOMUNICACIÓN, SONIDO E IMAGEN;ESCUELA POLITECNICA SUPERIOR DE GANDIA;6,460000
2021-22;2502182;GRADO EN INGENIERÍA MECÁNICA;E. POLITÉCNICA SUPERIOR DE ALCOY;6,300000
2021-22;2502182;GRADO EN INGENIERÍA MECÁNICA;E.T.S. DE INGENIERIA DEL DISEÑO;7,260000
2021-22;2502405;GRADO EN INGENIERÍA DE OBRAS PÚBLICAS;E.T.S.I. CAMINOS, CANALES Y PUERTOS;6,960000
2021-22;2502407;GRADO EN INGENIERÍA DE TECNOLOGÍAS Y SERVICIOS DE TELECOMUNICACIÓN;E.T.S.I. DE TELECOMUNICACIÓN;6,770000
2021-22;2502507;GRADO EN INGENIERÍA CIVIL;E.T.S.I. CAMINOS, CANALES Y PUERTOS;6,750000
2021-22;2502660;GRADO EN INGENIERÍA DE LA ENERGÍA;E.T.S.I. INDUSTRIALES;6,840000
2021-22;2502731;GRADO EN INGENIERÍA BIOMÉDICA;E.T.S.I. INDUSTRIALES;6,370000
2021-22;2503025;GRADO EN FUNDAMENTOS DE LA ARQUITECTURA;E.T.S. DE ARQUITECTURA;7,970000
2021-22;2503349;GRADO EN DISEÑO Y TECNOLOGÍAS CREATIVAS;FACULTAD DE BELLAS ARTES;5,060000
2021-22;2503504;GRADO EN TECNOLOGÍAS INTERACTIVAS;ESCUELA POLITECNICA SUPERIOR DE GANDIA;5,710000
2021-22;2503653;GRADO EN CIENCIA DE DATOS;E.T.S. DE INGENIERÍA INFORMÁTICA;7,300000
2021-22;2503930;GRADO EN TECNOLOGÍA DIGITAL Y MULTIMEDIA;E.T.S.I. DE TELECOMUNICACIÓN;6,720000
2021-22;2504265;GRADO EN DISEÑO ARQUITECTÓNICO DE INTERIORES;E.T.S. DE ARQUITECTURA;8,930000
2021-22;2504322;GRADO EN INGENIERÍA FÍSICA;E.T.S.I. DE TELECOMUNICACIÓN;7,780000
2021-22;2504353;GRADO EN MATEMÁTICAS;E.T.S.I. DE TELECOMUNICACIÓN;6,390000
2021-22;4310279;MÁSTER UNIVERSITARIO EN COMPUTACIÓN EN LA NUBE Y DE ALTAS PRESTACIONES / CLOUD AND HIGH-PERFORMANCE COMPUTING;UNIDAD DE MÁSTERES UNIVERSITARIOS;10,000000
2021-22;4310280;MÁSTER UNIVERSITARIO EN EDIFICACIÓN;E.T.S. DE INGENIERÍA DE EDIFICACIÓN;9,220000
2021-22;4310282;MÁSTER UNIVERSITARIO EN INGENIERÍA ACÚSTICA;ESCUELA POLITECNICA SUPERIOR DE GANDIA;7,500000
2021-22;4310284;MÁSTER UNIVERSITARIO EN INGENIERÍA DE COMPUTADORES Y REDES;UNIDAD DE MÁSTERES UNIVERSITARIOS;8,130000
2021-22;4310288;MÁSTER UNIVERSITARIO EN TRANSPORTE, TERRITORIO Y URBANISMO;E.T.S.I. CAMINOS, CANALES Y PUERTOS;7,000000
2021-22;4310468;MÁSTER UNIVERSITARIO EN SANIDAD Y PRODUCCIÓN VEGETAL;UNIDAD DE MÁSTERES UNIVERSITARIOS;6,500000
