año,satisfaccion_alumnos,satisfaccion_profesores,satisfaccion_promedio,tasa_abandono,autoeficacia_3_anos,porcentaje_no_desempleados
2020,6.822743362831859,8.550973451327433,7.686858407079646,12.906573746312684,5.401340842048807,89.31680745508179
2021,7.018325419436531,8.65025957581513,7.83983563445102,15.580376068376069,5.776250847917514,94.43687016687016
2022,6.893205925925926,8.63856,7.775269185185185,14.461098083694084,6.008159511387164,92.57624602622498
2023,6.9515206755050505,8.749630456349207,7.81578572209041,15.454564230040793,5.962203006383713,92.05207754000604
