CURSO;COD_RUCT;TITULACION;CENTRO;AUTOEFICACIA_3_ANYOS
2023-24;2500739;GRADO EN ARQUITECTURA TÉCNICA;E.T.S. DE INGENIERÍA DE EDIFICACIÓN;6,650000
2023-24;2500801;GRADO EN CIENCIAS AMBIENTALES;ESCUELA POLITECNICA SUPERIOR DE GANDIA;4,520000
2023-24;2501354;GRADO EN COMUNICACIÓN AUDIOVISUAL;ESCUELA POLITECNICA SUPERIOR DE GANDIA;5,210000
2023-24;2501355;GRADO EN TURISMO;ESCUELA POLITECNICA SUPERIOR DE GANDIA;5,000000
2023-24;2501356;GRADO EN INGENIERÍA EN DISEÑO INDUSTRIAL Y DESARROLLO DE PRODUCTOS;E. POLITÉCNICA SUPERIOR DE ALCOY;4,830000
2023-24;2501356;GRADO EN INGENIERÍA EN DISEÑO INDUSTRIAL Y DESARROLLO DE PRODUCTOS;E.T.S. DE INGENIERIA AEROESPACIAL Y DISEÑO INDUSTRIAL;4,560000
2023-24;2501484;GRADO EN BELLAS ARTES;FACULTAD DE BELLAS ARTES;3,960000
2023-24;2501485;GRADO EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURALES;FACULTAD DE BELLAS ARTES;2,410000
2023-24;2501486;GRADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA;FACULTAD DE ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;6,240000
2023-24;2501649;GRADO EN BIOTECNOLOGÍA;E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL;5,560000
2023-24;2501650;GRADO EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS;E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL;5,880000
2023-24;2501651;GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;E. POLITÉCNICA SUPERIOR DE ALCOY;4,840000
2023-24;2501651;GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;FACULTAD DE ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;7,080000
2023-24;2501653;GRADO EN INGENIERÍA AEROESPACIAL;E.T.S. DE INGENIERIA AEROESPACIAL Y DISEÑO INDUSTRIAL;6,510000
2023-24;2501654;GRADO EN INGENIERÍA AGROALIMENTARIA Y DEL MEDIO RURAL;E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL;6,260000
2023-24;2501655;GRADO EN INGENIERÍA ELÉCTRICA;E. POLITÉCNICA SUPERIOR DE ALCOY;6,490000
2023-24;2501655;GRADO EN INGENIERÍA ELÉCTRICA;E.T.S. DE INGENIERIA AEROESPACIAL Y DISEÑO INDUSTRIAL;7,190000
2023-24;2501656;GRADO EN INGENIERÍA ELECTRÓNICA INDUSTRIAL Y AUTOMÁTICA;E.T.S. DE INGENIERIA AEROESPACIAL Y DISEÑO INDUSTRIAL;6,780000
2023-24;2501657;GRADO EN INGENIERÍA GEOMÁTICA Y TOPOGRAFÍA;E.T.S.I. GEODESICA, CARTOGRAFICA Y TOP.;7,020000
2023-24;2501658;GRADO EN INGENIERÍA DE ORGANIZACIÓN INDUSTRIAL;E.T.S.I. INDUSTRIALES;7,930000
2023-24;2501659;GRADO EN INGENIERÍA EN TECNOLOGÍAS INDUSTRIALES;E.T.S.I. INDUSTRIALES;6,950000
