CURSO;COD_RUCT;TITULACION;CENTRO;SATIS_PROF_GESTION_TIT
2023-24;2501654;GRADO EN INGENIERÍA AGROALIMENTARIA Y DEL MEDIO RURAL;E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL;8,260000
2023-24;2501655;GRADO EN INGENIERÍA ELÉCTRICA;E. POLITÉCNICA SUPERIOR DE ALCOY;8,670000
2023-24;2501655;GRADO EN INGENIERÍA ELÉCTRICA;E.T.S. DE INGENIERIA AEROESPACIAL Y DISEÑO INDUSTRIAL;8,290000
2023-24;2501656;GRADO EN INGENIERÍA ELECTRÓNICA INDUSTRIAL Y AUTOMÁTICA;E.T.S. DE INGENIERIA AEROESPACIAL Y DISEÑO INDUSTRIAL;8,170000
2023-24;2501657;GRADO EN INGENIERÍA GEOMÁTICA Y TOPOGRAFÍA;E.T.S.I. GEODESICA, CARTOGRAFICA Y TOP.;9,020000
2023-24;2501658;GRADO EN INGENIERÍA DE ORGANIZACIÓN INDUSTRIAL;E.T.S.I. INDUSTRIALES;8,440000
2023-24;2501659;GRADO EN INGENIERÍA EN TECNOLOGÍAS INDUSTRIALES;E.T.S.I. INDUSTRIALES;8,630000
2023-24;2501660;GRADO EN INGENIERÍA FORESTAL Y DEL MEDIO NATURAL;E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL;8,170000
2023-24;2501661;GRADO EN INGENIERÍA INFORMÁTICA;E. POLITÉCNICA SUPERIOR DE ALCOY;8,600000
2023-24;2501661;GRADO EN INGENIERÍA INFORMÁTICA;E.T.S. DE INGENIERÍA INFORMÁTICA;8,620000
2023-24;2501662;GRADO EN INGENIERÍA QUÍMICA;E. POLITÉCNICA SUPERIOR DE ALCOY;8,020000
2023-24;2501662;GRADO EN INGENIERÍA QUÍMICA;E.T.S.I. INDUSTRIALES;8,590000
2023-24;2501663;GRADO EN INGENIERÍA DE SISTEMAS DE TELECOMUNICACIÓN, SONIDO E IMAGEN;ESCUELA POLITECNICA SUPERIOR DE GANDIA;8,750000
2023-24;2502182;GRADO EN INGENIERÍA MECÁNICA;E. POLITÉCNICA SUPERIOR DE ALCOY;8,290000
2023-24;2502182;GRADO EN INGENIERÍA MECÁNICA;E.T.S. DE INGENIERIA AEROESPACIAL Y DISEÑO INDUSTRIAL;8,540000
2023-24;2502407;GRADO EN INGENIERÍA DE TECNOLOGÍAS Y SERVICIOS DE TELECOMUNICACIÓN;E.T.S.I. DE TELECOMUNICACIÓN;7,870000
2023-24;2502660;GRADO EN INGENIERÍA DE LA ENERGÍA;E.T.S.I. INDUSTRIALES;7,690000
2023-24;2502731;GRADO EN INGENIERÍA BIOMÉDICA;E.T.S.I. INDUSTRIALES;8,860000
2023-24;2503025;GRADO EN FUNDAMENTOS DE LA ARQUITECTURA;E.T.S. DE ARQUITECTURA;7,790000
2023-24;2503349;GRADO EN DISEÑO Y TECNOLOGÍAS CREATIVAS;FACULTAD DE BELLAS ARTES;8,180000
2023-24;2503504;GRADO EN TECNOLOGÍAS INTERACTIVAS;ESCUELA POLITECNICA SUPERIOR DE GANDIA;8,430000
2023-24;2503653;GRADO EN CIENCIA DE DATOS;E.T.S. DE INGENIERÍA INFORMÁTICA;8,410000
2023-24;2503930;GRADO EN TECNOLOGÍA DIGITAL Y MULTIMEDIA;E.T.S.I. DE TELECOMUNICACIÓN;8,790000
2023-24;2504265;GRADO EN DISEÑO ARQUITECTÓNICO DE INTERIORES;E.T.S. DE ARQUITECTURA;7,440000
2023-24;2504322;GRADO EN INGENIERÍA FÍSICA;E.T.S.I. DE TELECOMUNICACIÓN;8,260000
2023-24;2504353;GRADO EN MATEMÁTICAS;E.T.S.I. DE TELECOMUNICACIÓN;7,000000
2023-24;2504381;GRADO EN INFORMÁTICA INDUSTRIAL Y ROBÓTICA;E. POLITÉCNICA SUPERIOR DE ALCOY;7,780000
2023-24;2504381;GRADO EN INFORMÁTICA INDUSTRIAL Y ROBÓTICA;E.T.S. DE INGENIERÍA INFORMÁTICA;8,130000
2023-24;2504505;GRADO EN GESTIÓN DEL TRANSPORTE Y LA LOGÍSTICA;E.T.S.I. CAMINOS, CANALES Y PUERTOS;8,480000
2023-24;2504565;GRADO EN INGENIERÍA CIVIL;E.T.S.I. CAMINOS, CANALES Y PUERTOS;9,170000
2023-24;4310279;MÁSTER UNIVERSITARIO EN COMPUTACIÓN EN LA NUBE Y DE ALTAS PRESTACIONES / CLOUD AND HIGH-PERFORMANCE COMPUTING;UNIDAD DE MÁSTERES UNIVERSITARIOS;8,860000
2023-24;4310280;MÁSTER UNIVERSITARIO EN EDIFICACIÓN;E.T.S. DE INGENIERÍA DE EDIFICACIÓN;10,000000
2023-24;4310282;MÁSTER UNIVERSITARIO EN INGENIERÍA ACÚSTICA;ESCUELA POLITECNICA SUPERIOR DE GANDIA;8,750000
2023-24;4310284;MÁSTER UNIVERSITARIO EN INGENIERÍA DE COMPUTADORES Y REDES;UNIDAD DE MÁSTERES UNIVERSITARIOS;8,750000
2023-24;4310288;MÁSTER UNIVERSITARIO EN TRANSPORTE, TERRITORIO Y URBANISMO;E.T.S.I. CAMINOS, CANALES Y PUERTOS;8,330000
2023-24;4310468;MÁSTER UNIVERSITARIO EN SANIDAD Y PRODUCCIÓN VEGETAL;UNIDAD DE MÁSTERES UNIVERSITARIOS;8,830000
2023-24;4310569;MÁSTER UNIVERSITARIO EN INGENIERÍA AVANZADA DE PRODUCCIÓN, LOGÍSTICA Y CADENA DE SUMINISTRO;E.T.S.I. INDUSTRIALES;9,640000
2023-24;4310809;MÁSTER UNIVERSITARIO EN ARTES VISUALES Y MULTIMEDIA;UNIDAD DE MÁSTERES UNIVERSITARIOS;9,060000
2023-24;4310813;MÁSTER UNIVERSITARIO EN GESTIÓN DE EMPRESAS, PRODUCTOS Y SERVICIOS;FACULTAD DE ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;10,000000
2023-24;4310814;MÁSTER UNIVERSITARIO EN DIRECCIÓN FINANCIERA Y FISCAL;FACULTAD DE ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;9,250000
2023-24;4310898;MÁSTER UNIVERSITARIO EN DIRECCIÓN Y GESTIÓN DE PROYECTOS;E.T.S.I. INDUSTRIALES;9,580000
2023-24;4310960;MÁSTER UNIVERSITARIO EN GESTIÓN CULTURAL;UNIDAD DE MÁSTERES UNIVERSITARIOS;9,170000
2023-24;4310963;MÁSTER UNIVERSITARIO EN ARQUITECTURA AVANZADA, PAISAJE, URBANISMO Y DISEÑO;E.T.S. DE ARQUITECTURA;8,270000
2023-24;4310964;MÁSTER UNIVERSITARIO EN AUTOMÁTICA E INFORMÁTICA INDUSTRIAL;UNIDAD DE MÁSTERES UNIVERSITARIOS;9,770000
2023-24;4310965;MÁSTER UNIVERSITARIO EN CIENCIA E INGENIERÍA DE LOS ALIMENTOS;E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL;8,750000
2023-24;4310966;MÁSTER UNIVERSITARIO EN CONSERVACIÓN DEL PATRIMONIO ARQUITECTÓNICO;E.T.S. DE ARQUITECTURA;7,880000
2023-24;4310967;MÁSTER UNIVERSITARIO EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURALES;UNIDAD DE MÁSTERES UNIVERSITARIOS;9,170000
2023-24;4310968;MÁSTER UNIVERSITARIO EN CONSTRUCCIONES E INSTALACIONES INDUSTRIALES;E.T.S.I. INDUSTRIALES;9,580000
2023-24;4310969;MÁSTER UNIVERSITARIO EN DISEÑO Y FABRICACIÓN INTEGRADA ASISTIDOS POR COMPUTADOR;E.T.S. DE INGENIERIA AEROESPACIAL Y DISEÑO INDUSTRIAL;9,720000
2023-24;4310971;MÁSTER UNIVERSITARIO EN INGENIERÍA DE SISTEMAS ELECTRÓNICOS;E.T.S.I. DE TELECOMUNICACIÓN;8,860000
2023-24;4310972;MÁSTER UNIVERSITARIO EN INGENIERÍA Y TECNOLOGÍA DE SISTEMAS SOFTWARE;UNIDAD DE MÁSTERES UNIVERSITARIOS;9,500000
2023-24;4310973;MÁSTER UNIVERSITARIO EN INGENIERÍA DEL DISEÑO;E.T.S. DE INGENIERIA AEROESPACIAL Y DISEÑO INDUSTRIAL;8,540000
2023-24;4310974;MÁSTER UNIVERSITARIO EN INGENIERÍA DEL HORMIGÓN;UNIDAD DE MÁSTERES UNIVERSITARIOS;8,040000
2023-24;4310975;MÁSTER UNIVERSITARIO EN INGENIERÍA DEL MANTENIMIENTO;E.T.S. DE INGENIERIA AEROESPACIAL Y DISEÑO INDUSTRIAL;10,000000
2023-24;4310976;MÁSTER UNIVERSITARIO EN PLANIFICACIÓN Y GESTIÓN EN INGENIERÍA CIVIL;E.T.S.I. CAMINOS, CANALES Y PUERTOS;9,030000
2023-24;4310977;MÁSTER UNIVERSITARIO EN INGENIERÍA HIDRÁULICA Y MEDIO AMBIENTE;UNIDAD DE MÁSTERES UNIVERSITARIOS;9,700000
2023-24;4310978;MÁSTER UNIVERSITARIO EN INGENIERÍA MECÁNICA;UNIDAD DE MÁSTERES UNIVERSITARIOS;10,000000
2023-24;4310979;MÁSTER UNIVERSITARIO EN INTELIGENCIA ARTIFICIAL, RECONOCIMIENTO DE FORMAS E IMAGEN DIGITAL;UNIDAD DE MÁSTERES UNIVERSITARIOS;9,170000
2023-24;4310980;MÁSTER UNIVERSITARIO EN SISTEMAS PROPULSIVOS PARA UNA MOVILIDAD SOSTENIBLE;UNIDAD DE MÁSTERES UNIVERSITARIOS;10,000000
2023-24;4310981;MÁSTER UNIVERSITARIO EN TECNOLOGÍA ENERGÉTICA PARA DESARROLLO SOSTENIBLE;E.T.S.I. INDUSTRIALES;9,400000
2023-24;4310982;MÁSTER UNIVERSITARIO EN TECNOLOGÍAS, SISTEMAS Y REDES DE COMUNICACIONES;E.T.S.I. DE TELECOMUNICACIÓN;9,130000
2023-24;4311602;MÁSTER UNIVERSITARIO EN BIOTECNOLOGÍA BIOMÉDICA;UNIDAD DE MÁSTERES UNIVERSITARIOS;7,880000
2023-24;4311603;MÁSTER UNIVERSITARIO EN BIOTECNOLOGÍA MOLECULAR Y CELULAR DE PLANTAS;UNIDAD DE MÁSTERES UNIVERSITARIOS;9,170000
2023-24;4311604;MÁSTER UNIVERSITARIO EN ECONOMÍA AGROALIMENTARIA Y DEL MEDIO AMBIENTE;UNIDAD DE MÁSTERES UNIVERSITARIOS;9,380000
2023-24;4311605;MÁSTER UNIVERSITARIO EN GESTIÓN DE LA SEGURIDAD Y CALIDAD ALIMENTARIA;E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL;8,890000
2023-24;4311606;MÁSTER UNIVERSITARIO EN INGENIERÍA DE ANÁLISIS DE DATOS, MEJORA DE PROCESOS Y TOMA DE DECISIONES;UNIDAD DE MÁSTERES UNIVERSITARIOS;8,540000
2023-24;4311609;MÁSTER UNIVERSITARIO EN LENGUAS Y TECNOLOGÍA;UNIDAD DE MÁSTERES UNIVERSITARIOS;9,750000
2023-24;4311612;MÁSTER UNIVERSITARIO EN POSTPRODUCCIÓN DIGITAL;ESCUELA POLITECNICA SUPERIOR DE GANDIA;8,930000
2023-24;4311613;MÁSTER UNIVERSITARIO EN PREVENCIÓN DE RIESGOS LABORALES;UNIDAD DE MÁSTERES UNIVERSITARIOS;8,190000
2023-24;4311614;MÁSTER UNIVERSITARIO EN PRODUCCIÓN ARTÍSTICA;FACULTAD DE BELLAS ARTES;9,320000
2023-24;4311725;MÁSTER UNIVERSITARIO EN COOPERACIÓN AL DESARROLLO;UNIDAD DE MÁSTERES UNIVERSITARIOS;9,640000
2023-24;4311726;MÁSTER UNIVERSITARIO EN INGENIERÍA AMBIENTAL;E.T.S.I. CAMINOS, CANALES Y PUERTOS;8,270000
2023-24;4312033;MÁSTER UNIVERSITARIO EN ACUICULTURA;UNIDAD DE MÁSTERES UNIVERSITARIOS;8,750000
2023-24;4312991;MÁSTER UNIVERSITARIO EN EVALUACIÓN Y SEGUIMIENTO AMBIENTAL DE ECOSISTEMAS MARINOS Y COSTEROS;ESCUELA POLITECNICA SUPERIOR DE GANDIA;9,170000
2023-24;4313930;MÁSTER UNIVERSITARIO EN INVESTIGACIÓN MATEMÁTICA;UNIDAD DE MÁSTERES UNIVERSITARIOS;8,270000
2023-24;4314065;MÁSTER UNIVERSITARIO EN INGENIERÍA, PROCESADO Y CARACTERIZACIÓN DE MATERIALES;E. POLITÉCNICA SUPERIOR DE ALCOY;8,610000
2023-24;4314067;MÁSTER UNIVERSITARIO EN INGENIERÍA MECATRÓNICA;E.T.S. DE INGENIERIA AEROESPACIAL Y DISEÑO INDUSTRIAL;8,420000
2023-24;4314071;MÁSTER UNIVERSITARIO EN INGENIERÍA DE ORGANIZACIÓN Y LOGÍSTICA;E. POLITÉCNICA SUPERIOR DE ALCOY;9,110000
2023-24;4314473;MÁSTER UNIVERSITARIO EN INGENIERÍA DE MONTES;E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL;7,500000
2023-24;4314518;MÁSTER UNIVERSITARIO EN INGENIERÍA DE TELECOMUNICACIÓN;E.T.S.I. DE TELECOMUNICACIÓN;7,930000
2023-24;4314521;MÁSTER UNIVERSITARIO EN INGENIERÍA AERONÁUTICA;E.T.S. DE INGENIERIA AEROESPACIAL Y DISEÑO INDUSTRIAL;8,630000
2023-24;4314523;MÁSTER UNIVERSITARIO EN INGENIERÍA QUÍMICA;E.T.S.I. INDUSTRIALES;9,040000
2023-24;4314524;MÁSTER UNIVERSITARIO EN INGENIERÍA INDUSTRIAL;E.T.S.I. INDUSTRIALES;8,780000
2023-24;4314526;MÁSTER UNIVERSITARIO EN INGENIERÍA INFORMÁTICA;E.T.S. DE INGENIERÍA INFORMÁTICA;8,520000
2023-24;4314528;MÁSTER UNIVERSITARIO EN ENOLOGÍA;E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL;8,000000
2023-24;4314529;MÁSTER UNIVERSITARIO EN INGENIERÍA AGRONÓMICA;E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL;8,320000
2023-24;4314646;MÁSTER UNIVERSITARIO EN INGENIERÍA GEOMÁTICA Y GEOINFORMACIÓN;E.T.S.I. GEODESICA, CARTOGRAFICA Y TOP.;9,610000
2023-24;4314647;MÁSTER UNIVERSITARIO EN INGENIERÍA DE CAMINOS, CANALES Y PUERTOS;E.T.S.I. CAMINOS, CANALES Y PUERTOS;8,910000
2023-24;4314825;MÁSTER UNIVERSITARIO EN DIRECCIÓN DE EMPRESAS (MBA);E. POLITÉCNICA SUPERIOR DE ALCOY;9,810000
2023-24;4315002;MÁSTER UNIVERSITARIO EN INGENIERÍA TEXTIL;E. POLITÉCNICA SUPERIOR DE ALCOY;8,440000
2023-24;4315070;MÁSTER UNIVERSITARIO EN ARQUITECTURA;E.T.S. DE ARQUITECTURA;7,700000
2023-24;4315921;MÁSTER UNIVERSITARIO EN INGENIERÍA BIOMÉDICA;E.T.S.I. INDUSTRIALES;8,610000
2023-24;4315941;MÁSTER UNIVERSITARIO ERASMUS MUNDUS EN SANIDAD VEGETAL EN AGRICULTURA SOSTENIBLE/ EUROPEAN MASTER DEGREE IN PLANT HEALTH IN SUSTAINABLE CROPPING SYSTEMS;UNIDAD DE MÁSTERES UNIVERSITARIOS;9,530000
2023-24;4316135;MÁSTER UNIVERSITARIO EN GESTIÓN ADMINISTRATIVA;FACULTAD DE ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;6,790000
2023-24;4316557;MÁSTER UNIVERSITARIO EN ESTUDIOS DE LA CIENCIA, LA TECNOLOGÍA Y LA INNOVACIÓN;UNIDAD DE MÁSTERES UNIVERSITARIOS;10,000000
2023-24;4316840;MÁSTER UNIVERSITARIO EN MEJORA GENÉTICA VEGETAL;UNIDAD DE MÁSTERES UNIVERSITARIOS;8,570000
2023-24;4317401;MÁSTER UNIVERSITARIO EN SOCIAL MEDIA Y COMUNICACIÓN CORPORATIVA;FACULTAD DE ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS;8,890000
2023-24;4317446;MÁSTER UNIVERSITARIO EN COMUNICACIÓN TRANSMEDIA;ESCUELA POLITECNICA SUPERIOR DE GANDIA;8,640000
2023-24;4317448;MÁSTER UNIVERSITARIO EN CIBERSEGURIDAD Y CIBERINTELIGENCIA;E.T.S. DE INGENIERÍA INFORMÁTICA;10,000000
2023-24;4317455;MÁSTER UNIVERSITARIO ERASMUS MUNDUS EN ONDAS, ACÚSTICA, VIBRACIONES, INGENIERÍA Y SONIDO / ERASMUS MUNDUS MASTER IN WAVES, ACOUSTICS, VIBRATIONS, ENGINEERING AND SOUND (WAVES);ESCUELA POLITECNICA SUPERIOR DE GANDIA;9,380000
2023-24;4317480;MÁSTER UNIVERSITARIO EN QUÍMICA SOSTENIBLE;UNIDAD DE MÁSTERES UNIVERSITARIOS;9,550000
2023-24;4317640;MÁSTER UNIVERSITARIO EN INGENIERÍA BIOAMBIENTAL Y DEL PAISAJE;E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL;8,750000
2023-24;4317898;MÁSTER UNIVERSITARIO ERASMUS MUNDUS EN MEJORA GENÉTICA VEGETAL / ERASMUS MUNDUS MASTER IN PLANT BREEDING - EMPLANT +;UNIDAD DE MÁSTERES UNIVERSITARIOS;9,690000
2023-24;4317936;MÁSTER UNIVERSITARIO EN GANADERÍA DE PRECISIÓN;E.T.S.I. AGRONÓMICA Y DEL MEDIO NATURAL;9,690000
2023-24;4317948;MÁSTER UNIVERSITARIO EN MECÁNICA DE FLUIDOS COMPUTACIONAL;E.T.S. DE INGENIERIA AEROESPACIAL Y DISEÑO INDUSTRIAL;8,440000
2023-24;4317961;MÁSTER UNIVERSITARIO ERASMUS MUNDUS EN CIENCIA EN INGENIERÍA TEXTIL / ERASMUS MUNDUS MASTER OF SCIENCE IN TEXTILE ENGINEERING;E. POLITÉCNICA SUPERIOR DE ALCOY;10,000000
2023-24;4318105;MÁSTER UNIVERSITARIO EN SEGURIDAD NUCLEAR Y PROTECCIÓN RADIOLÓGICA;E.T.S.I. INDUSTRIALES;9,170000
2023-24;4318256;MÁSTER UNIVERSITARIO EN SEGURIDAD INDUSTRIAL;E.T.S.I. INDUSTRIALES;9,000000
2023-24;4318298;MÁSTER UNIVERSITARIO EN INGENIERÍA EN MOVILIDAD ELÉCTRICA;E.T.S. DE INGENIERIA AEROESPACIAL Y DISEÑO INDUSTRIAL;8,750000
2023-24;4318372;MÁSTER UNIVERSITARIO EN HUMANIDADES DIGITALES;E.T.S. DE INGENIERÍA INFORMÁTICA;9,000000
2023-24;4318375;MÁSTER UNIVERSITARIO EN INGENIERÍA ESTRUCTURAL Y GEOTÉCNICA;E.T.S.I. CAMINOS, CANALES Y PUERTOS;9,040000
2023-24;4318551;MÁSTER UNIVERSITARIO EN INTELIGENCIA TURÍSTICA;ESCUELA POLITECNICA SUPERIOR DE GANDIA;8,640000
